"By the item of monthly income & expenditure of household",2003.1/4,2003.1/4,2003.1/4,2003.2/4,2003.2/4,2003.2/4,2003.3/4,2003.3/4,2003.3/4,2003.4/4,2003.4/4,2003.4/4,2004.1/4,2004.1/4,2004.1/4,2004.2/4,2004.2/4,2004.2/4,2004.3/4,2004.3/4,2004.3/4,2004.4/4,2004.4/4,2004.4/4,2005.1/4,2005.1/4,2005.1/4,2005.2/4,2005.2/4,2005.2/4,2005.3/4,2005.3/4,2005.3/4,2005.4/4,2005.4/4,2005.4/4,2006.1/4,2006.1/4,2006.1/4,2006.2/4,2006.2/4,2006.2/4,2006.3/4,2006.3/4,2006.3/4,2006.4/4,2006.4/4,2006.4/4,2007.1/4,2007.1/4,2007.1/4,2007.2/4,2007.2/4,2007.2/4,2007.3/4,2007.3/4,2007.3/4,2007.4/4,2007.4/4,2007.4/4,2008.1/4,2008.1/4,2008.1/4,2008.2/4,2008.2/4,2008.2/4,2008.3/4,2008.3/4,2008.3/4,2008.4/4,2008.4/4,2008.4/4,2009.1/4,2009.1/4,2009.1/4,2009.2/4,2009.2/4,2009.2/4,2009.3/4,2009.3/4,2009.3/4,2009.4/4,2009.4/4,2009.4/4,2010.1/4,2010.1/4,2010.1/4,2010.2/4,2010.2/4,2010.2/4,2010.3/4,2010.3/4,2010.3/4,2010.4/4,2010.4/4,2010.4/4,2011.1/4,2011.1/4,2011.1/4,2011.2/4,2011.2/4,2011.2/4,2011.3/4,2011.3/4,2011.3/4,2011.4/4,2011.4/4,2011.4/4,2012.1/4,2012.1/4,2012.1/4,2012.2/4,2012.2/4,2012.2/4,2012.3/4,2012.3/4,2012.3/4,2012.4/4,2012.4/4,2012.4/4,2013.1/4,2013.1/4,2013.1/4,2013.2/4,2013.2/4,2013.2/4,2013.3/4,2013.3/4,2013.3/4,2013.4/4,2013.4/4,2013.4/4,2014.1/4,2014.1/4,2014.1/4,2014.2/4,2014.2/4,2014.2/4,2014.3/4,2014.3/4,2014.3/4,2014.4/4,2014.4/4,2014.4/4,2015.1/4,2015.1/4,2015.1/4,2015.2/4,2015.2/4,2015.2/4,2015.3/4,2015.3/4,2015.3/4,2015.4/4,2015.4/4,2015.4/4,2016.1/4,2016.1/4,2016.1/4,2016.2/4,2016.2/4,2016.2/4,2016.3/4,2016.3/4,2016.3/4,2016.4/4,2016.4/4,2016.4/4,2017.1/4,2017.1/4,2017.1/4,2017.2/4,2017.2/4,2017.2/4,2017.3/4,2017.3/4,2017.3/4,2017.4/4,2017.4/4,2017.4/4,2018.1/4,2018.1/4,2018.1/4,2018.2/4,2018.2/4,2018.2/4,2018.3/4,2018.3/4,2018.3/4,2018.4/4,2018.4/4,2018.4/4,2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4
"Noncurrent income (Won)",106363,116644,92304,91823,104083,74218,85637,87249,83401,101500,100296,103215,130852,143632,113003,85116,76690,97261,112941,121538,101106,106160,109218,101818,147155,172231,113220,110834,95979,132103,95614,95625,95599,124419,121945,127854,174009,194891,145565,117018,122630,108879,90109,93324,85596,151487,149807,153799,164136,173746,151438,111025,103213,121963,122171,117050,129452,154704,150597,160480,164889,193160,126027,118711,131891,99772,133547,124729,146179,127194,138204,110957,191554,225270,142210,115786,127488,98569,102341,120069,76089,146849,158832,128439,211312,162693,281149,126321,131568,118137,101062,90737,117224,121643,115335,131149,181819,200109,154687,135602,123433,154642,112916,96329,139127,113759,117599,107585,177255,170410,187974,142044,132165,158351,132898,111116,169056,118592,118208,119227,162204,169811,150254,126836,132488,117397,139338,130453,154644,122215,131544,106137,196035,188610,208028,126320,117879,140964,142443,123546,175483,132155,130711,134718,191875,183917,205211,159026,177944,125801,135793,149284,112368,125870,125777,126032,196321,198930,192152,124989,124645,125577,104063,93273,122183,95755,94103,98500,199617,206675,188251,119931,83268,183547,85294,78360,97070,84550,78614,94479,41513,47145,33537,37610,29846,49162,42974,42626,43481,37770,21013,62116,23447,15965,33835,20831,18122,24852,15722,11777,21517,20111,14627,28312
"Expenditure (Won)",2139578,2263006,1970795,2097931,2216032,1928353,2169367,2282421,2012532,2180677,2259474,2068471,2329988,2469718,2134830,2203328,2301162,2062332,2300713,2435926,2114580,2273644,2397125,2098342,2433277,2607555,2197423,2276983,2402527,2097224,2404211,2557390,2191936,2351148,2495184,2151173,2538090,2719992,2290322,2385233,2517524,2193424,2454195,2625886,2213238,2536264,2725758,2275566,2644354,2868372,2348378,2467916,2632355,2237665,2625905,2828441,2337991,2596412,2790945,2322846,2819584,3094294,2441948,2613218,2852034,2270085,2767907,2998501,2437591,2668818,2882500,2353714,2783253,3037932,2410525,2663025,2874441,2351948,2810278,3021486,2497525,2861363,3082712,2521306,3032823,3324729,2613532,2867727,3054844,2575909,3003451,3195491,2702848,2962388,3153983,2673688,3175951,3466369,2745107,3004588,3231117,2650154,3189955,3423965,2820173,3082855,3309246,2718848,3358538,3672195,2867445,3109566,3374365,2672446,3258937,3503048,2853706,3144241,3376345,2760975,3344597,3661562,2846662,3156974,3435982,2691026,3301195,3548504,2875188,3243088,3492392,2813458,3493823,3815757,2973837,3249290,3543210,2739391,3413859,3681080,2946639,3267475,3537950,2787459,3502265,3848441,2922200,3281079,3531464,2841310,3396703,3665701,2929611,3323601,3564340,2899600,3520409,3876211,2951746,3281407,3565059,2796309,3417388,3722382,2905168,3239220,3544689,2731297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Consumption expenditure (Won)",1711362,1774146,1625507,1653643,1715361,1565023,1720418,1772711,1647875,1714638,1743315,1673802,1859234,1934378,1754283,1730098,1772314,1669258,1811171,1875113,1723148,1788673,1853930,1696030,1938514,2036767,1805545,1787978,1846265,1704521,1901654,1986152,1784558,1859296,1936872,1751592,2019111,2122037,1878914,1865978,1932212,1769945,1925771,2024030,1787871,1978623,2082192,1836137,2084497,2215887,1910903,1923780,2011580,1800841,2040631,2162632,1867202,2017836,2120415,1873582,2215430,2382004,1986445,2039624,2184684,1831200,2138695,2278525,1938394,2063673,2185928,1883391,2135760,2293432,1905005,2070176,2196367,1884499,2189841,2320295,1996666,2215946,2341589,2022920,2338442,2514130,2086086,2208645,2310889,2049191,2308836,2424109,2128396,2308434,2421783,2137638,2439375,2614599,2179425,2303745,2436552,2095952,2443629,2578043,2231229,2379565,2513482,2164242,2568262,2749934,2283819,2386084,2549898,2115666,2467121,2606205,2236239,2412301,2548566,2187289,2542563,2727271,2252397,2403480,2574825,2117332,2493519,2641090,2239317,2483643,2628627,2233790,2653614,2833384,2363251,2477672,2651575,2175980,2576298,2737246,2294890,2506099,2659572,2233729,2653431,2856655,2312902,2494305,2629444,2256949,2562507,2715482,2296879,2549685,2674100,2330560,2668790,2874038,2340749,2493619,2650067,2226065,2579437,2754000,2286270,2468383,2637228,2187632,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"01.Food and soft drinks (Won)",243326,242473,244492,233106,232459,234034,275241,272770,278669,268644,264014,275238,257850,257794,257928,245759,243546,248949,303512,297291,312075,275542,271580,281167,269620,269985,269127,246635,246699,246544,293228,290948,296388,284362,282022,287611,275123,276933,272658,251705,251853,251492,272854,270788,275754,304842,298457,313627,272401,273108,271467,249762,251328,247570,299706,298815,300972,288594,286442,291622,288389,293074,281949,271735,275863,265804,322986,321366,325306,310483,307703,314583,285267,292189,275137,284626,290431,276086,312248,315094,308033,309970,306388,315474,298009,303561,290033,294548,296140,292064,343448,341617,346314,334000,327112,344379,322930,326177,318114,320690,321838,318894,367423,363357,373848,346667,342728,352999,342127,350353,329248,326422,333018,315533,382848,385522,378411,346745,347570,345381,336647,346085,321822,329892,337743,316780,373338,381165,359856,354811,356300,352244,343606,352698,328920,336534,346409,319403,369868,376271,358673,355148,360593,345484,351419,361631,334307,343179,352300,327160,379965,387847,366277,342557,347160,334449,349415,360291,332033,328724,336823,314874,367673,374726,355828,352623,358746,342442,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"02.Alcoholic beverages and tobacco (Won)",20972,21324,20491,21925,22461,21155,25403,25814,24831,23750,24230,23066,25162,25506,24682,25353,26147,24208,28325,28969,27437,25422,25940,24687,27672,27660,27689,27492,28007,26754,30969,31179,30677,27543,27389,27757,28667,28579,28786,28314,28181,28506,29866,30479,29004,30397,30792,29854,28650,29313,27773,27579,27881,27156,30162,30557,29601,27588,27853,27215,28354,28509,28142,27871,27907,27819,30073,30022,30145,27154,27812,26183,25679,26866,23941,26449,27839,24404,27826,29427,25456,26835,27927,25158,26308,27893,24033,27397,29159,24648,30065,30619,29199,26506,27386,25179,26393,27117,25320,26559,27291,25414,30327,30853,29496,28078,28689,27096,27454,27339,27635,27969,28209,27574,29882,29731,30132,27316,27928,26307,26723,27065,26186,27587,28041,26828,30341,31171,28912,27396,28259,25907,26933,27776,25572,27132,28278,25143,29906,31478,27155,27604,28645,25758,28573,28740,28294,32496,33366,30969,36782,38261,34214,34463,35428,32763,34927,35590,33869,34794,36041,32662,36365,37660,34191,33234,34594,30971,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"03.Clothing and footwear (Won)",114871,122340,104657,112825,118001,105393,95364,101182,87293,127523,133678,118759,114733,120489,106694,116693,120636,111011,93809,100051,85217,127045,132130,119827,116805,126108,104215,121866,129279,111252,99986,107574,89471,136492,146401,122735,126380,137092,111789,124062,131586,113152,98393,106920,86426,144618,155165,130107,127209,138507,112283,130238,139749,116920,107446,115931,95383,146783,160581,127379,135533,148905,117151,136898,151792,115497,108714,117915,95533,144262,157108,125318,125707,140358,104265,133367,145591,115379,107226,115184,95442,160996,171172,145363,136463,150290,116602,148045,157728,132944,117952,125870,105557,182049,193178,165280,149158,164127,126952,155920,167347,138041,129081,138959,113472,192979,210648,164571,157738,173861,132496,170419,183604,148653,131776,141426,115756,203004,220947,173375,165290,181887,139217,171249,188662,142169,132953,141940,117474,208327,226525,176965,163380,178243,139372,175123,190390,148637,136792,146382,120024,202251,219859,171002,154727,169788,129491,169236,181512,147674,131939,143747,111435,191720,207798,163402,151897,165803,129671,165067,178463,142157,133206,144251,114657,181026,198822,151435,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"04.Housing, water, electricity, gas and other fuels (Won)",198104,194969,202390,166838,166404,167462,139304,138483,140442,168365,168265,168506,204884,205874,203502,170676,172201,168479,149776,151279,147707,171312,174820,166332,218064,220517,214744,179463,181600,176403,155236,160222,148327,181211,181518,180783,229808,233677,224536,187792,194699,177776,168143,173521,160596,185478,188419,181432,228429,230917,225141,191060,187942,195426,163643,165340,161229,199780,199105,200729,246239,247966,243865,200200,203551,195384,174492,177329,170428,200301,205117,193199,249719,254647,242507,206097,205419,207095,177727,181359,172348,209138,214088,201532,284679,286858,281549,224734,223685,226371,189258,190574,187198,222398,220471,225303,295786,298496,291766,241125,245456,234349,200716,198896,203593,231875,235141,226625,316148,322398,306364,244897,252719,231984,211868,214172,208044,253713,250689,258708,325693,332110,315612,260912,265911,252563,225355,230321,216801,255755,256409,254627,323454,329153,314250,258006,264923,246006,223631,227901,216166,256242,258349,252502,335825,340082,328692,278066,277786,278559,241053,246119,232257,255079,263552,240155,323886,328775,316072,272604,269965,277117,242538,247525,234162,250970,257043,240872,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"05.Household equipment and housekeeping services (Won)",51437,51579,51243,58980,62941,53292,58401,61156,54580,66931,66639,67347,55851,57375,53722,55418,52447,59699,63360,67002,58347,72150,72395,71801,61708,69132,51660,69128,71086,66325,67433,72051,61033,69632,72738,65320,61772,67088,54532,64913,70373,56998,66624,72555,58301,78691,87127,67086,68783,74512,61215,72186,74530,68905,72544,78989,63382,87573,85839,90011,62874,68950,54522,73530,74007,72846,78294,80424,75242,79310,85166,70674,64965,71472,55442,71000,75882,63818,78927,82810,73177,92048,101971,76803,76405,85842,62848,80478,82575,77207,91056,97183,81465,99558,105293,90917,82884,90511,71569,90047,98914,76175,92125,96759,84802,94965,100834,85527,89605,97905,76611,90247,97520,78240,97952,103509,88728,94070,101222,82261,89308,99456,73367,98431,107009,84106,104334,110027,94527,104157,114726,85944,97723,107654,81684,107395,121927,82185,104198,116499,82689,109850,119619,92514,94788,107408,73642,109662,118710,93770,103960,110839,92017,113995,119680,103982,101842,111033,87153,104110,111281,91847,123110,127932,115011,108080,123654,82184,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"06.Health (Won)",98951,102799,93690,95625,95268,96137,98604,99235,97729,99227,96686,102846,101222,100494,102237,105231,102329,109414,102143,99177,106226,102948,104270,101070,114863,116418,112759,106885,108665,104335,112222,112937,111231,111530,106437,118601,121046,122838,118604,116528,114144,119983,120908,115229,128878,123572,119348,129383,133635,130731,137471,126515,116312,140800,128437,125370,132796,125808,120335,133505,136776,132274,142963,119417,117507,122163,135393,133232,138489,131247,130625,132164,135108,135485,134556,139904,134256,148215,144257,145722,142088,146167,143460,150324,143990,147520,138918,158193,155832,161874,151357,145724,160176,156574,154047,160383,159662,164879,151922,148326,148640,147835,158842,160669,155954,158825,164181,150213,166641,170482,160626,158735,160564,155715,153352,153748,152695,157156,159983,152489,171483,168277,176519,157428,153342,164251,158832,155389,164763,168894,170411,166280,172153,178004,162703,167611,170010,163448,168562,170554,165077,165558,167411,162268,179017,182324,173476,168729,167100,171589,177031,178472,174527,173850,168756,182823,178485,181018,174436,174962,179832,166635,170371,167385,175386,188547,185356,193853,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"07.Transportation (Won)",197710,217482,170673,210641,234239,176757,197456,209074,181339,187790,191351,182719,208335,230880,176847,210304,229438,182727,202861,218009,182009,213533,231491,188038,224672,246264,195451,212890,222983,198439,239455,255003,217909,224488,243403,198228,221958,245178,190328,251978,250114,254681,252793,278919,216127,249266,275331,213405,249942,285647,202769,245941,270666,211321,253605,285510,208252,250405,278091,211470,270090,305707,221129,268468,306843,213331,262694,289891,223735,246795,263984,221447,213891,238292,178180,257525,279437,225284,276770,304051,236373,315597,353286,257696,250010,285447,199108,271313,292438,238369,273717,298798,234457,291212,319148,249118,278723,305793,238565,300570,318139,273082,308298,340262,257789,289166,306242,261711,288715,319806,240036,308521,352852,235340,297941,324053,254595,311799,340625,264200,294336,331314,236244,311364,353492,241011,308125,339810,253546,316666,343171,270990,330340,373409,260775,329750,357483,281638,350393,391615,278318,326508,359134,268607,315574,358040,244418,315099,330448,288141,306730,326111,273076,348478,359968,328242,323325,355584,271766,319530,348230,270447,299918,329177,250781,288365,316643,241346,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"08.Communication (Won)",119006,119786,117939,125704,127005,123837,130506,131648,128923,126902,126709,127178,131539,132107,130746,131572,131613,131512,131366,133732,128109,130457,131876,128442,131692,134641,127701,130858,131526,129903,133359,135491,130404,129461,131048,127256,131315,132931,129115,131736,134561,127639,132747,136115,128021,134020,138171,128309,136048,142133,128008,134024,137293,129446,134169,137851,128935,133226,137174,127675,135852,140849,128982,134403,137905,129371,133432,136525,129001,132520,135101,128715,130713,134411,125302,132821,137319,126203,132682,136466,127080,134510,138527,128338,137038,142955,128539,138960,142140,134000,138636,142362,132802,140935,145304,134352,138603,144996,129119,141179,144538,135923,144206,147828,138483,147449,151696,140620,148469,156859,135332,154360,161488,142593,155252,161356,145119,151621,158213,140735,151118,160251,136771,152232,158870,141145,153206,159381,142571,154773,161081,143902,159380,167347,146510,143459,150270,131644,151132,159870,135855,148422,155320,136180,145994,152788,134610,147740,152592,139217,145240,152875,131981,152291,160025,138669,145538,154110,131836,146156,153399,133767,141969,147726,132302,142799,150109,130643,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"09.Entertainment and culture (Won)",105347,113578,94090,94083,98331,87984,102666,111101,90966,95992,101100,88719,105658,115992,91224,93658,96619,89390,101072,109315,89724,92484,98775,83553,105225,112843,94914,99153,103517,92905,107913,114823,98337,92354,101299,79934,111748,122597,96971,100292,104770,93799,105676,114152,93779,99099,108303,86435,108795,118223,96339,104245,109786,96488,113633,128352,92709,104565,112215,93806,120923,135897,100338,106436,114314,95118,109557,124077,88756,99738,109883,84779,111373,121214,96970,107011,116701,92753,123639,134230,107956,107464,115815,94634,131417,144945,111984,119584,127708,106914,131155,141621,114772,124275,131227,113800,131071,147094,107301,125956,133917,113500,137483,152978,112997,121147,134597,99520,138767,156312,111298,134566,148333,111839,144024,162384,113545,124656,134806,107895,143300,157009,121762,138866,150602,119266,143383,153206,126463,130650,141723,111567,154182,166279,134643,148151,160436,126840,151374,160293,135779,134396,145748,114250,154026,172336,123345,141563,147559,131032,158390,172195,134420,145495,155225,128357,156086,173361,128476,144478,153181,129593,159585,174056,135281,138701,145208,127882,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10.Education (Won)",211628,221363,198316,154762,161233,145472,225707,224243,227738,157094,160418,152361,257793,263047,250456,158308,166822,146036,235620,237144,233521,157224,165057,146104,255621,272100,233319,165466,171902,156251,252576,258621,244199,173559,184848,157885,282892,295886,265192,174329,183676,160777,258175,266000,247192,174567,189126,154536,297767,315211,274720,191456,207777,168603,285422,301894,262006,187982,210076,156912,328646,363110,281270,221249,250921,178617,319121,355685,266744,215425,244521,172519,358825,397637,302023,235716,258289,202504,338665,359942,307159,228259,245767,201360,376436,408628,330195,237990,258708,205678,347929,376239,303614,227071,249849,192749,365018,400533,312331,231449,256466,192305,351273,374347,314811,231215,251860,198022,364448,395645,315601,231962,254365,194980,329874,358827,281812,228072,252785,187264,339455,371665,288855,233977,263400,184841,332164,359472,285125,227653,253055,183877,348371,374147,306737,235081,261287,189618,328494,348386,293714,226596,252013,181489,342911,382365,276800,231282,262645,176198,325020,355191,272629,233957,254169,198360,341671,391671,261759,229644,259507,178571,329233,372229,257023,231034,260711,181688,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"11.Restaurants and hotels (Won)",208227,225179,185046,237502,253712,214227,244898,265173,216771,244785,262185,220008,239136,261602,207757,260660,281236,231006,260079,285576,224980,261153,284447,228083,245844,271892,210593,266582,288154,235695,261473,287890,224864,260241,285063,225780,249942,276502,213764,261192,284570,227297,264410,292384,225151,265357,295503,223883,254483,285719,213214,276898,304868,237733,278570,309838,234121,275854,307245,231711,270188,304054,223633,296446,329834,248473,292581,325247,245788,287208,316276,244344,255791,286300,211142,288685,318433,244914,288966,317763,246323,286608,310946,249219,276434,308255,230727,303808,331082,261274,297548,325077,254457,288254,319107,241764,274715,308480,224623,301636,332422,253467,313008,344350,263481,306674,335554,260240,296326,331615,241075,320266,350179,270888,322541,353685,270842,307930,336999,259930,295920,331411,240166,321567,355884,264258,337303,371971,277586,323791,356102,268110,314117,349332,257238,337274,370504,279625,354676,387613,297086,334340,367191,276039,325920,362486,264647,338193,371519,279661,356073,392678,292512,337860,372217,277349,333247,375442,265809,350223,389628,282832,360872,406132,284861,335069,378290,263202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"12.Other miscellaneous goods and services (Won)",141784,141273,142481,141652,143307,139274,126868,132832,118595,147634,148040,147055,157071,163217,148488,156467,149280,166826,139249,147569,127796,159403,161149,156925,166728,169206,163375,161558,162845,159716,147805,159415,131717,168425,174707,159702,178461,182736,172639,173137,183685,157845,155182,166968,138642,188718,196450,178080,178355,191867,160504,173876,183449,160473,173295,184185,157816,189679,195460,181548,191566,212709,162501,182971,194242,166777,171359,186810,149227,189229,202632,169466,178722,194563,155539,186974,206771,157844,180906,198246,155230,198354,212241,177019,201255,221936,171550,203595,213692,187849,196715,208425,178386,215601,229661,194414,214432,236397,181845,220288,241584,186967,210848,228786,182503,230525,251313,197101,231823,247358,207498,217722,227048,202327,209810,217792,196559,206218,216800,188744,203290,220740,175876,199975,211869,180113,194183,207238,171694,210771,220864,193377,219976,229342,204847,212156,229659,181793,207273,220381,184353,219184,225691,207636,224657,238667,201181,219060,233909,192980,200325,211146,181534,219940,230121,202008,228470,241359,207869,223327,233714,205562,214596,225202,196786,217935,228050,201114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Non-consumption expenditures (Won)",428216,488859,345288,444288,500670,363330,448948,509711,364657,466039,516159,394669,470753,535339,380547,473230,528849,393074,489542,560812,391431,484971,543195,402312,494764,570788,391878,489005,556262,392702,502557,571238,407378,491852,558312,399580,518980,597955,411408,519256,585312,423479,528424,601856,425367,557641,643566,439429,559857,652485,437476,544136,620775,436824,585273,665809,470789,578576,670530,449263,604154,712290,455503,573594,667350,438885,629212,719976,499197,605145,696572,470324,647493,744500,505520,592849,678074,467449,620438,701191,500859,645417,741123,498386,694381,810599,527446,659082,743956,526717,694615,771381,574452,653954,732200,536051,736576,851770,565682,700843,794566,554201,746326,845922,588945,703291,795764,554606,790275,922261,583626,723482,824467,556780,791816,896844,617468,731940,827779,573686,802034,934291,594264,753494,861157,573694,807676,907414,635871,759445,863765,579668,840209,982373,610587,771618,891634,563411,837561,943834,651749,761376,878378,553730,848834,991787,609298,786774,902019,584361,834196,950219,632732,773916,890240,569040,851620,1002173,610997,787788,914992,570244,837951,968383,618898,770838,907460,543665,835384,996287,576277,809007,916335,622775,863659,978957,667855,867427,992493,658209,995512,1196075,711417,942136,1104881,699979,1065019,1233030,819916,953908,1131577,695761,1078279,1284723,791643,1020166,1196978,757769,1138205,1321523,868946,1046966,1229653,773755
